date,state,daily
2021-09-06,Malaysia,192
2021-09-07,Malaysia,235
2021-09-08,Malaysia,227
2021-09-09,Malaysia,227
2021-09-10,Malaysia,181
2021-09-11,Malaysia,63
2021-09-12,Malaysia,92
2021-09-13,Malaysia,166
2021-09-14,Malaysia,240
2021-09-15,Malaysia,213
2021-09-16,Malaysia,50
2021-09-17,Malaysia,194
2021-09-18,Malaysia,68
2021-09-19,Malaysia,90
2021-09-20,Malaysia,218
2021-09-21,Malaysia,233
2021-09-22,Malaysia,311
2021-09-23,Malaysia,238
2021-09-24,Malaysia,212
2021-09-25,Malaysia,68
2021-09-26,Malaysia,114
2021-09-27,Malaysia,203
2021-09-28,Malaysia,197
2021-09-29,Malaysia,309
2021-09-30,Malaysia,242
2021-10-01,Malaysia,182
2021-10-02,Malaysia,95
2021-10-03,Malaysia,111
2021-10-04,Malaysia,218
2021-10-05,Malaysia,228
2021-10-06,Malaysia,311
2021-10-07,Malaysia,234
2021-10-08,Malaysia,235
2021-10-09,Malaysia,109
2021-10-10,Malaysia,129
2021-10-11,Malaysia,247
2021-10-12,Malaysia,284
2021-10-13,Malaysia,348
2021-10-14,Malaysia,260
2021-10-15,Malaysia,248
2021-10-16,Malaysia,111
2021-10-17,Malaysia,108
2021-10-18,Malaysia,279
